model,train_loss,train_acc,val_loss,val_acc
my_model_2 bassed on VGG16,0.8949059247970581,0.908050000667572,0.8733627200126648,0.9083999991416931
my_model_2 bassed on VGG16,0.866960346698761,0.9099000096321106,0.8563398718833923,0.9071999788284302
my_model_2 bassed on VGG16,0.8405887484550476,0.9110333323478699,0.8321657180786133,0.9067999720573425
my_model_2 bassed on VGG16,0.8197246193885803,0.9114000201225281,0.806433916091919,0.90829998254776
my_model_2 bassed on VGG16,0.7919972538948059,0.9149666428565979,0.7895231246948242,0.9085000157356262
my_model_2 bassed on VGG16,0.7656753659248352,0.9158999919891357,0.7693729400634766,0.9093000292778015
my_model_2 bassed on VGG16,0.748151957988739,0.9147499799728394,0.7492375373840332,0.9089000225067139
my_model_2 bassed on VGG16,0.7234089970588684,0.9164166450500488,0.7348264455795288,0.9108999967575073
my_model_2 bassed on VGG16,0.7088142037391663,0.9173499941825867,0.7088409662246704,0.9101999998092651
my_model_2 bassed on VGG16,0.6840193271636963,0.9182500243186951,0.696117103099823,0.9096999764442444
my_model_2 bassed on VGG16,0.6689400672912598,0.9190499782562256,0.679488480091095,0.910099983215332
my_model_2 bassed on VGG16,0.6532430052757263,0.9199833273887634,0.6667289137840271,0.9089000225067139
my_model_2 bassed on VGG16,0.6363189220428467,0.9202333092689514,0.6498217582702637,0.9118000268936157
my_model_2 bassed on VGG16,0.6193011999130249,0.9193500280380249,0.642907977104187,0.9097999930381775
my_model_2 bassed on VGG16,0.6022422909736633,0.9222833514213562,0.6262907385826111,0.9092000126838684
my_model_2 bassed on VGG16,0.5858564376831055,0.9239500164985657,0.6146155595779419,0.9104999899864197
my_model_2 bassed on VGG16,0.5714299082756042,0.9236833453178406,0.605147123336792,0.9110999703407288
my_model_2 bassed on VGG16,0.560361385345459,0.9245499968528748,0.5885539054870605,0.911899983882904
my_model_2 bassed on VGG16,0.5437625050544739,0.9262333512306213,0.5791417360305786,0.9114999771118164
my_model_2 bassed on VGG16,0.530910849571228,0.9267500042915344,0.5711369514465332,0.9108999967575073
my_model_2 bassed on VGG16,0.5206921100616455,0.9267333149909973,0.5595187544822693,0.9115999937057495
my_model_2 bassed on VGG16,0.5077093839645386,0.9282666444778442,0.5488240718841553,0.909500002861023
my_model_2 bassed on VGG16,0.49652692675590515,0.9285500049591064,0.5431767702102661,0.9106000065803528
my_model_2 bassed on VGG16,0.48086079955101013,0.930400013923645,0.5315536856651306,0.9120000004768372
my_model_2 bassed on VGG16,0.471029132604599,0.9304500222206116,0.5215252637863159,0.9142000079154968
my_model_2 bassed on VGG16,0.45856839418411255,0.9325166940689087,0.5195696353912354,0.9121000170707703
my_model_2 bassed on VGG16,0.4508618712425232,0.9328666925430298,0.5085386037826538,0.9101999998092651
my_model_2 bassed on VGG16,0.4402797520160675,0.9332500100135803,0.5043126940727234,0.9125000238418579
my_model_2 bassed on VGG16,0.4320169687271118,0.933733344078064,0.4923495650291443,0.9121999740600586
my_model_2 bassed on VGG16,0.4220108985900879,0.9348999857902527,0.48082759976387024,0.9121000170707703
my_model_2 bassed on VGG16,0.41390809416770935,0.9348666667938232,0.4765110909938812,0.9138000011444092
my_model_2 bassed on VGG16,0.4006732702255249,0.9368000030517578,0.4721362292766571,0.9118000268936157
my_model_2 bassed on VGG16,0.39298194646835327,0.9380999803543091,0.46941450238227844,0.9121999740600586
my_model_2 bassed on VGG16,0.38740503787994385,0.9370499849319458,0.4597839415073395,0.913100004196167
my_model_2 bassed on VGG16,0.3768901228904724,0.9384999871253967,0.4668934643268585,0.9088000059127808
my_model_2 bassed on VGG16,0.3723030090332031,0.9382833242416382,0.4471030831336975,0.9128999710083008
my_model_2 bassed on VGG16,0.362236887216568,0.9394166469573975,0.4540197253227234,0.9128000140190125
my_model_2 bassed on VGG16,0.35250282287597656,0.9402499794960022,0.43837910890579224,0.9125000238418579
